id,prefix,name,birth_date,blood_type,marriage_status,household_income,phone_number,email,address,zip_code,city,state,country,year,time,url,text
0,Srta.,Dr. Luiz Otávio Almeida,1973-08-07,B-,Unmarried,463489.6,71 3791-5556,qsilveira@example.com,"Conjunto Lorenzo da Conceição, 87
Cdi Jatoba
66262-989 Carvalho da Praia / SP",22865-027,Gonçalves,Alagoas,Peru,2010,12:20:42,https://www.freitas.com/,vel
1,Sra.,Dr. Thales Gonçalves,1995-12-15,O+,Married,392673.57,+55 (071) 6127 1429,luiz-gustavo37@example.com,"Quadra de Castro, 4
Santa Sofia
53341823 Costa / MT",57203402,Cardoso,Sergipe,Hong Kong,2014,05:58:00,http://www.peixoto.br/,fuga
2,Srta.,Kamilly Cavalcanti,1970-01-29,A+,married,109618.71,+55 (011) 6732 2717,lcosta@example.com,"Alameda de Oliveira, 110
Álvaro Camargos
57217-189 Moura da Prata / PA",25934717,Alves Verde,Mato Grosso do Sul,Emirados Árabes Unidos,1998,04:21:55,http://da.com/,sapiente
3,Sra.,Helena Novaes,1996-09-04,B+,UNMARRIED,855947.78,+55 (071) 3303-6839,kdias@example.com,"Chácara Anthony Moreira, 623
Vila Copasa
24747-397 Barros / SE",26235761,da Cruz das Pedras,Espírito Santo,Dhekelia,1992,19:01:04,http://www.costa.br/,aspernatur
4,Sra.,Maysa Barbosa,1994-03-08,O-, married,261893.78,0300 635 4403,juan43@example.net,"Fazenda Ramos, 17
Satelite
86965596 Ferreira do Amparo / PR",58039-052,Carvalho,Santa Catarina,Japão,1990,22:10:49,http://www.barros.com/,nesciunt
5,Dra.,Sra. Pietra Sales,1975-02-08,AB+,M,617817.9,(084) 6895-5588,claramelo@example.org,"Alameda de da Luz, 63
Andiroba
97229-488 Duarte das Flores / RN",00122-059,Silva do Galho,Amapá,Egito,1998,03:16:00,https://pereira.com/,modi
6,Dra.,Davi Lucas Ribeiro,1976-08-29,O+, married,234220.58,+55 11 5502-0220,yduarte@example.net,"Rodovia Luiz Otávio das Neves, 69
Manacas
67632433 Cavalcanti / MT",65078-495,da Mota,Pará,São Marinho,1972,14:56:46,http://www.cunha.br/,necessitatibus
7,Sr.,Nicolas da Costa,1996-07-28,A+,unmarried,918457.36,(041) 0015-1920,tpinto@example.com,"Residencial Vitor Fernandes, 36
Gameleira
22659006 Rodrigues / SC",46831073,Rodrigues de Lima,Minas Gerais,Bangladesh,1991,09:15:42,http://www.rodrigues.br/,quisquam
8,Sr.,Ana Clara Sales,1990-02-24,AB-, married,133965.93,11 6178 2754,fcardoso@example.org,"Largo de Almeida, 19
Nova Pampulha
45235606 Santos / SP",96243315,Lima,Alagoas,Santa Lúcia,1976,17:45:49,http://lopes.org/,natus
9,Dra.,Bruno Cavalcanti,1995-12-30,O-,unmarried,498854.15,(021) 4896 3013,vitor-hugopereira@example.org,"Jardim de Cavalcanti, 90
Santa Helena
71410-300 Cunha das Pedras / MG",98843204,Freitas de Ferreira,Mato Grosso do Sul,Gâmbia,1973,10:42:07,http://www.pinto.com/,eius
10,Sr.,Maria Almeida,1979-11-13,AB-, married,475561.2,+55 (051) 3434-2167,joanasouza@example.org,"Distrito Monteiro, 6
Marmiteiros
93066007 Jesus da Mata / TO",43115579,Aragão,Sergipe,Mauritânia,1984,09:27:22,http://www.caldeira.br/,doloribus
11,Dr.,Dra. Luna Alves,1980-09-16,O-,MARRIED,865665.53,+55 21 0816 6390,moraesisabelly@example.com,"Lagoa de Fernandes, 858
Etelvina Carneiro
28882964 Peixoto / SP",74845259,Fogaça,Paraná,Bélgica,2020,16:29:28,https://www.costela.com/,praesentium
12,Sr.,Luna Lima,1990-02-11,Z+,Married,23209.1,21 8254-9725,kcampos@example.net,"Setor Lara Farias, 72
Padre Eustáquio
54993-984 Barbosa / PR",21936998,Nogueira do Oeste,Pará,Mali,1971,08:09:21,https://da.br/,unde
13,Dr.,Clara da Paz,1992-06-21,AB+,M,393435.26,(031) 2484-8566,lara29@example.org,"Travessa Leonardo Vieira, 31
São Jorge 1ª Seção
81080431 Cardoso / MA",52594424,Azevedo,Roraima,São Tomé e Príncipe,2017,22:07:31,https://correia.br/,quisquam
14,Dr.,Daniela Nunes,1975-12-10,O+,Married,929608.89,+55 (061) 7585-4943,souzadavi-luiz@example.com,"Favela Caldeira, 19
Mineirão
51391392 da Cunha de Oliveira / RN",91080-554,Carvalho,Minas Gerais,Alemanha,2005,15:51:01,https://campos.org/,inventore
15,Dr.,Guilherme Teixeira,1993-10-03,O-, unmarried ,69225.94,61 9804 8014,imendes@example.net,"Favela de Costa, 6
Carlos Prates
26504987 Campos das Pedras / AL",98747747,Nunes,Distrito Federal,Ilha Bouvet,1970,12:06:09,http://www.fogaca.net/,ea
16,Srta.,Arthur Moreira,1999-05-27,AB+,U,446510.96,+55 31 2738 6857,efogaca@example.org,"Lagoa de Farias, 15
Novo Ouro Preto
50189766 Duarte / PE",76198172,da Rosa do Galho,Paraíba,Austrália,2013,23:37:40,http://da.com/,adipisci
17,Dr.,Sr. Erick Moreira,1991-04-23,O+, married,793363.85,+55 51 8839 3033,da-costaian@example.org,"Conjunto de Aragão, 23
Madri
63312-360 Pinto / TO",38625-311,Mendes Paulista,Bahia,Chipre,1997,22:08:11,http://www.campos.com/,numquam
18,Srta.,Srta. Maria Julia Gonçalves,1986-12-18,Z+,UNMARRIED,35249.37,+55 31 2146-9257,maria-luiza09@example.org,"Pátio Lopes, 564
São Damião
72442-767 Nascimento de Ferreira / RJ",02044-565,Lopes do Campo,Rio de Janeiro,Uganda,1978,12:42:41,https://www.das.net/,a
19,Sr.,Sr. João Felipe Lopes,1975-05-29,A-,UNMARRIED,189714.18,(071) 7058-6187,olopes@example.org,"Estação Laís da Conceição, 57
Vila Sesc
63994-726 Teixeira Alegre / AC",29486558,Ramos de Carvalho,Pernambuco,Polinésia Francesa,1996,04:56:47,https://cardoso.br/,nam
20,Sr.,Kamilly Oliveira,1970-08-15,O-,Unmarried,116947.47,(031) 4526 0358,wsilva@example.org,"Feira de Moraes, 659
Santa Monica
53595-380 Cardoso dos Dourados / ES",28524354,Novaes,Maranhão,Noruega,2009,18:15:13,http://sales.net/,veniam
21,Dr.,Bruna Duarte,1996-07-21,Z+, unmarried ,607066.56,41 5060-4911,fernandacorreia@example.net,"Vereda Clarice Pinto
Pongelupe
04434239 da Rocha / BA",26442014,Gonçalves da Mata,Amapá,São Tomé e Príncipe,2009,05:30:17,http://www.pires.br/,nihil
22,Srta.,Mariane Aragão,1999-07-10,AB+,UNMARRIED,807832.1,61 1451-8489,diasbenicio@example.net,"Via Maria Alice da Cunha, 178
Aarão Reis
12570-235 Alves / RS",81419-481,da Cunha,Santa Catarina,Sérvia,1978,10:06:26,http://www.barbosa.net/,dicta
23,Dr.,Heitor Cavalcanti,1999-03-10,AB+,M,545599.29,+55 51 4278 9924,bruno50@example.com,"Vereda de Cunha, 2
Vila Novo São Lucas
52059-533 Monteiro / CE",51650-678,Silva do Galho,Roraima,Austrália,2012,04:27:35,http://www.araujo.com/,tempore
24,Srta.,Dra. Evelyn Cunha,1972-03-23,AB+,Married,255269.73,41 7435 2215,thomaslima@example.net,"Residencial Larissa Carvalho
Rio Branco
84885662 Costa do Norte / RR",06001563,Cardoso,Ceará,Wake Island,2003,17:10:42,http://www.ferreira.br/,iusto
25,Sr.,Murilo Cardoso,1994-12-20,B-,U,231386.97,+55 (031) 9032 3508,ferreiracamila@example.org,"Passarela de Caldeira
Pousada Santo Antonio
74077-599 da Rocha das Flores / PA",14861-741,Santos,Rio Grande do Sul,Domínica,1976,20:06:23,http://www.viana.com/,ipsum
26,Srta.,Laura Pereira,1990-05-15,O-,U,492127.82,(031) 1135 0092,castrolaura@example.org,"Quadra de Fogaça
Vila Fumec
84381-889 Vieira de da Rosa / SC",34492-966,Alves,Rio de Janeiro,Fiji,1986,21:51:34,https://www.lima.com/,consectetur
27,Sra.,Calebe Pires,1970-10-16,O+,Married,81022.92,+55 71 0072 1046,fernandesnathan@example.org,"Conjunto da Mota, 46
São Luiz
16567199 Cunha das Flores / PA",82076-678,Lopes,Pernambuco,Santa Lúcia,1976,09:00:43,https://duarte.com/,odit
28,Srta.,Marcela Lima,1977-10-29,O-,unmarried,444240.95,84 6774-6274,faragao@example.org,"Quadra Francisco Silveira, 86
Mirtes
53968-318 Nogueira / RR",58573-872,das Neves do Oeste,Acre,Guiné,1988,18:42:10,https://www.barros.net/,minus
29,Sr.,Elisa Nogueira,1970-03-22,AB-, unmarried ,908492.32,+55 81 8144 2369,mouravalentina@example.com,"Ladeira de Silva, 19
Penha
50046913 da Mota de Viana / AL",48404703,Caldeira do Amparo,Tocantins,Akrotiri,2018,04:25:41,https://www.ribeiro.br/,nemo
30,Dra.,Pedro Viana,1999-04-17,Z+, unmarried ,922985.27,(081) 2559 9033,sporto@example.org,"Pátio Fernandes
Camponesa 2ª Seção
98257985 Vieira / MG",14317-547,Pires do Norte,Paraíba,Arábia Saudita,1970,09:52:06,http://souza.net/,et
31,Sra.,João Rocha,1972-09-21,O+,Unmarried,295944.8,+55 51 7947 5773,luiz-fernandogoncalves@example.org,"Residencial Isadora da Paz, 12
Corumbiara
33785-747 Castro de Minas / SP",28259681,Porto,Rio Grande do Sul,Costa do Marfim,2017,02:59:01,https://da.net/,porro
